Ciclo;Código;Nombre de la asignatura;Creditos;Prerrequisitos
I;ICSI-506;ALGORITMIA Y PROGRAMACIÓN;4;NINGUNO
I;ICSI-507;INTRODUCCION A LA INGENIERÍA DE SISTEMAS Y TECNOLOGIA DE INFORMACION;2;NINGUNO
I;CIEN-532;FÍSICA GENERAL;4;NINGUNO
I;CIEN-397;MATEMATICA I;4;NINGUNO
I;HUMA-900;METODOLOGIA DEL APRENDIZAJE UNIVERSITARIO;2;NINGUNO
I;HUMA-899;LENGUAJE I;4;NINGUNO
I;HUMA-1012;ACTIVIDAD FORMATIVA I: Inducción a la vida universitaria y desarrollo personal;1;NINGUNO
II;ICSI-509;PROGRAMACIÓN ORIENTADO A OBJETOS;4;ICSI-506
II;CIEN-597;ALGEBRA LINEAL Y GEOMETRÍA DESCRIPTIVA;4;NINGUNO
II;CIEN-539;FISICA I;4;CIEN-532
II;CIEN-599;MATEMATICA II;4;CIEN-397
II;HUMA-1021;PSICOLOGIA Y DESARROLLO HUMANO;2;NINGUNO
II;HUMA-901;LENGUAJE II;2;HUMA-899
II;HUMA-641;ACTIVIDAD FORMATIVA II: Apreciación musical;1;NINGUNO
III;ICSI-510;PATRONES DE DISEÑO DE SOFTWARE;4;ICSI-509
III;HUMA-1025;ETICA Y VALORES;2;NINGUNO
III;CIEN-648;FISICA II;4;CIEN-539
III;CIEN-649;MATEMÁTICA DISCRETA;4;CIEN-599
III;HUMA-903;FILOSOFIA DE LA CIENCIA;2;HUMA-900
III;ICSI-511;ESTRUCTURA DE DATOS Y ALGORITMOS;4;ICSI-509
III;HUMA-679;ACTIVIDAD FORMATIVA III: Apreciación de las Artes Plásticas;1;NINGUNO
III;HUMA-1024;REALIDAD NACIONAL Y REGIONAL;2;NINGUNO
IV;ICSI-512;PARADIGMAS DE PROGRAMACIÓN;4;ICSI-510
IV;ICSI-513;INGENIERÍA DE REQUISITOS;2;NINGUNO
IV;ICSI-514;ARQUITECTURA DE COMPUTADORAS;4;CIEN-648
IV;CIEN-651;ESTADÍSTICA DESCRIPTIVA;2;NINGUNO
IV;ICSI-515;BASE DE DATOS;4;NINGUNO
IV;HUMA-1027;ACTIVIDAD FORMATIVA IV: Vigencia y trascendencia del pensamiento de Antenor Orrego;1;NINGUNO
IV;ICSI-516;GESTIÓN DE PROCESOS DE NEGOCIOS;4;NINGUNO
V;ICSI-517;INTERACCION HOMBRE MAQUINA;4;NINGUNO
V;ICSI-518;INGENIERIA DE SOFTWARE I;4;ICSI-513
V;ICSI-519;SISTEMAS OPERATIVOS;4;ICSI-514
V;CIEN-655;ESTADÍSTICA INFERENCIAL;2;CIEN-651
V;HUMA-1038;CIUDADANIA Y DERECHOS HUMANOS;3;NINGUNO
V;ICSI-521;SISTEMAS DE GESTION DE BASE DE DATOS;4;ICSI-515
V;ICSI-538;ORGANIZACIÓN Y GESTIÓN DE EMPRESAS;4;ICSI-516
VI;ICSI-522;SISTEMAS DE INFORMACIÓN TRANSACCIONALES;4;ICSI-516,ICSI-515,ICSI-517
VI;ICSI-523;INGENIERIA DE SOFTWARE II;4;ICSI-518
VI;ICSI-524;ARQUITECTURA Y ADMINISTRACION DE REDES;4;ICSI-519
VI;ICSI-539;MÉTODOS CUANTITATIVOS PARA LOS NEGOCIOS;4;CIEN-649,CIEN-655
VI;ICSI-526;GESTIÓN DE SERVICIOS DE TI;4;ICSI-538
VI;ICSI-527;INGENIERÍA DE DATOS;4;ICSI-521
VII;ICSI-528;ARQUITECTURA DE SOFTWARE;4;ICSI-522
VII;ICSI-529;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS INFORMÁTICOS;3;ICSI-523
VII;ICSI-530;COMPUTACIÓN EN LA NUBE;4;ICSI-524
VII;HUMA-1043;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;3;HUMA-903
VII;ICSI-531;GESTIÓN DE PROYECTOS DE SISTEMAS DE INFORMACIÓN;4;ICSI-526
VII;ICSI-532;SISTEMAS DE SOPORTE DE DECISIONES;4;ICSI-527
VII;CIEN-662;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;3;NINGUNO
VIII;ICSI-540;INTEGRACION DE APLICACIONES EMPRESARIALES;3;ICSI-528
VIII;ICSI-541;CALIDAD DEL SOFTWARE;3;ICSI-523
VIII;ICSI-677;INTERNET DE LAS COSAS;4;ICSI-530
VIII;ICSI-543;TRABAJO DE INVESTIGACIÓN;2;HUMA-1043
VIII;ICSI-544;INNOVACIÓN Y EMPRENDIMIENTO;3;ICSI-518,ICSI-522
VIII;ICSI-546;DEONTOLOGIA PROFESIONAL;2;HUMA-1025
VIII;ICSI-545;ARQUITECTURA EMPRESARIAL;4;ICSI-531
IX;ICSI-547;AUDITORIA DE SISTEMAS DE INFORMACION;4;NINGUNO
IX;ICSI-548;NEGOCIOS ELECTRÓNICOS;4;NINGUNO
IX;ICSI-549;COMPUTACION VISUAL Y ACCESIBILIDAD AUMENTADA;4;NINGUNO
IX;ICSI-550;DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;4;NINGUNO
IX;ICSI-551;SISTEMAS INTELIGENTES;4;NINGUNO
IX;ICSI-552;TESIS I;2;ICSI-543
IX;ICSI-553;GOBIERNO DE TI;4;ICSI-545
IX;ICSI-554;SISTEMAS GESTUALES Y CONVERSACIONALES;4;NINGUNO
IX;ICSI-555;CIBERSEGURIDAD;4;NINGUNO
IX;ICSI-556;BLOCKCHAIN;4;NINGUNO
IX;ICSI-557;INTELIGENCIA DE PROCESOS DE NEGOCIOS;4;NINGUNO
X;ICSI-558;PRACTICAS PRE-PROFESIONALES;4;ICSI-528,ICSI-530,ICSI-531,ICSI-532
X;ICSI-559;TESIS II;3;ICSI-552
X;ICSI-560;TALLER INTEGRADOR DE SISTEMAS Y TECNOLOGÍAS DE INFORMACIÓN;4;ICSI-540,ICSI-551,ICSI-553
