Ciclo;Código;Nombre de la asignatura;Creditos;Prerrequisitos
I;ICSI-400;FUNDAMENTOS DE PROGRAMACION I;3;NINGUNO
I;ICSI-401;INTRODUCCION A LA ING. DE SISTEMAS Y TECNOLOGIA DE INFORMACION;3;NINGUNO
I;CIEN-538;FISICA GENERAL;4;NINGUNO
I;CIEN-397;MATEMATICA I;4;NINGUNO
I;HUMA-900;METODOLOGIA DEL APRENDIZAJE UNIVERSITARIO;2;NINGUNO
I;HUMA-899;LENGUAJE I;4;NINGUNO
I;HUMA-640;ACTIVIDAD FORMATIVA I: Desarrollo Personal;1;NINGUNO
II;ICSI-402;FUNDAMENTOS DE PROGRAMACION II;4;ICSI-400
II;CIEN-597;ALGEBRA LINEAL Y GEOMETRIA DESCRIPTIVA;4;ICSI-401,CIEN-397
II;CIEN-539;FISICA I;4;CIEN-538
II;CIEN-599;MATEMATICA II;4;CIEN-397
II;HUMA-1020;PSICOLOGIA GENERAL;2;HUMA-900
II;HUMA-901;LENGUAJE II;2;HUMA-899
II;HUMA-641;ACTIVIDAD FORMATIVA II: Apreciación Musical;1;HUMA-640
III;ICSI-403;PROGRAMACION ORIENTADA A OBJETOS;5;ICSI-402
III;ICSI-404;FUNDAMENTOS DE SISTEMAS DE INFORMACION;5;ICSI-401
III;ICSI-405;FISICA APLICADA A LA COMPUTACION;4;CIEN-539
III;CIEN-600;MATEMATICA III;4;CIEN-599
III;HUMA-903;FILOSOFIA DE LA CIENCIA;2;HUMA-1020,HUMA-901
III;HUMA-679;ACTIVIDAD FORMATIVA III: Apreciación Artística;1;HUMA-641
IV;ICSI-406;ESTRUCTURAS DE DATOS E INFORMACION;4;ICSI-403
IV;ICSI-407;MATEMATICA DISCRETA PARA LA COMPUTACION;4;CIEN-600
IV;ICSI-408;ARQUITECTURA DE COMPUTADORAS;6;ICSI-405
IV;HUMA-904;REALIDAD NACIONAL Y REGIONAL;2;HUMA-903
IV;ICSI-409;ORGANIZACIÓN Y GESTION DE EMPRESAS;4;HUMA-901
IV;HUMA-701;ACTIVIDAD FORMATIVA IV: Sem. Antenor Orrego;1;HUMA-679
V;ICSI-410;BASE DE DATOS;4;ICSI-406
V;ICSI-411;AUTOMATAS Y COMPILADORES;4;ICSI-407
V;CIEN-598;ESTADISTICA Y PROBABILIDADES;3;CIEN-597
V;ICSI-412;INTERACCION HOMBRE MAQUINA;4;ICSI-403
V;INSO-135;INGENIERIA DE SOFTWARE I;4;ICSI-403
V;HUMA-905;METODOLOGIA DE LA INVESTIGACION CIENTIFICA;3;HUMA-904
VI;ICSI-413;DESARROLLO DE APLICACIONES;4;ICSI-410,ICSI-403
VI;ICSI-414;SISTEMAS DE GESTION DE BASE DE DATOS;4;ICSI-410
VI;ICSI-415;MODELADO DE PROCESOS DE NEGOCIOS I;3;INSO-135,ICSI-404
VI;ICSI-416;SISTEMAS OPERATIVOS;4;ICSI-408
VI;INSO-136;INGENIERIA DE SOFTWARE II;4;INSO-135
VI;ICSI-417;SISTEMAS DE CONTABILIDAD Y PRESUPUESTOS;3;ICSI-409
VII;ICSI-418;SISTEMAS DE INFORMACION;4;ICSI-404,ICSI-413
VII;ICSI-419;MODELADO DE PROCESOS DE NEGOCIOS II;4;ICSI-415
VII;ICSI-420;ARQUITECTURA DE REDES DE COMPUTADORAS;4;ICSI-416
VII;ICSI-421;PLANEAMIENTO ESTRATEGICO DE TIC;4;ICSI-415,ICSI-417
VII;ICSI-422;INVESTIGACION DE OPERACIONES;4;CIEN-597,CIEN-600,CIEN-598
VII;ICSI-423;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;2;HUMA-904
VIII;ICSI-424;ADMINISTRACION DE PROYECTOS DE SIST. DE INFORMACION;4;ICSI-421
VIII;ICSI-425;SISTEMAS DE SOPORTE DE DECISIONES;4;ICSI-418,ICSI-422
VIII;ICSI-426;ADMINISTRACION DE REDES Y SEGURIDAD DE LA INFORMACION;4;ICSI-420
VIII;ICSI-427;GERENCIA DE TI;4;ICSI-421,ICSI-418
VIII;ICSI-428;PROYECTO DE INVESTIGACION;2;HUMA-905
VIII;ICSI-429;INTELIGENCIA DE PROCESOS DE NEGOCIOS;4;NINGUNO
VIII;INSO-137;INGENIERIA DE SOFTWARE III;4;NINGUNO
VIII;ICSI-430;PROGRAMACION DE APLICACIONES WEB;4;NINGUNO
IX;ICSI-431;AUDITORIA DE SISTEMAS DE INFORMACION;5;ICSI-424,ICSI-427
IX;ICSI-432;SISTEMAS DE INFORMACION ESTRATEGICA;4;ICSI-418
IX;ICSI-433;ADMINISTRACION Y ARQUITECTURA DE MAINFRAMES;4;ICSI-426
IX;HUMA-906;ETICA Y DEONTOLOGIA;2;HUMA-701,ICSI-423
IX;ICSI-434;TESIS I;3;ICSI-428
IX;ICSI-435;SISTEMAS INTELIGENTES;4;NINGUNO
IX;ICSI-436;DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES;4;NINGUNO
IX;ICSI-437;AUTOMATIZACION DE PROCESOS INDUSTRIALES;4;NINGUNO
X;ICSI-438;PRACTICAS PRE-PROFESIONALES;6;ICSI-431,ICSI-432,ICSI-433,HUMA-906,ICSI-434
X;ICSI-439;PROGRAMACION DE MAINFRAMES;4;ICSI-433
X;ICSI-440;TESIS II;2;ICSI-434
X;ICSI-441;EMPRENDIMIENTO Y MODELAMIENTO DE NEGOCIOS;4;NINGUNO
X;ICSI-442;COMPUTACION VISUAL Y ACCESIBILIDAD AUMENTADA;4;NINGUNO
X;ICSI-443;INTEGRACION DE APLICACIONES EMPRESARIALES;4;NINGUNO
X;ICSI-444;DESARROLLO DE APLICACIONES PARA VIDEOJUEGOS;4;NINGUNO
